GEOAREA_ID,GEOAREA_NAME,GEOAREA_POINTTOTAL,GEOAREA_POINTLIST
7305,1-八区-鲁谷-鲁谷北,15,"116.204942,39.906261;116.229017,39.906245;116.24716,39.906234;116.247068,39.887811;116.227966,39.888179;116.224579,39.891191;116.224194,39.894736;116.212109,39.89385;116.204897,39.890757;116.201854,39.879153;116.193703,39.884442;116.194876,39.887646;116.197806,39.887983;116.197367,39.906139;116.204942,39.906261"
7416,2-八区-鲁谷-鲁谷南,14,"116.201854,39.879153;116.204897,39.890757;116.212109,39.89385;116.224194,39.894736;116.224579,39.891191;116.227966,39.888179;116.247068,39.887811;116.247025,39.880129;116.247045,39.874455;116.245163,39.87107;116.24312,39.874412;116.231956,39.87509;116.216195,39.868829;116.201854,39.879153"
7436,3-八区-茂林居-茂林居,8,"116.303443,39.914783;116.304234,39.922257;116.3199,39.922284;116.328513,39.921798;116.328513,39.906129;116.323182,39.90606;116.304304,39.906697;116.303443,39.914783"
7447,4-八区-茂林居-月坛西街西里,10,"116.328513,39.906129;116.328513,39.921798;116.350194,39.921848;116.350607,39.912802;116.350493,39.908618;116.350975,39.900068;116.342811,39.899271;116.337215,39.901615;116.337801,39.906068;116.328513,39.906129"
7458,5-八区-石景山-八大处,10,"116.128651,39.929297;116.143527,39.940376;116.189106,39.962109;116.193206,39.960436;116.20176,39.952881;116.2073,39.945758;116.205489,39.940649;116.205967,39.923792;116.143065,39.922736;116.128651,39.929297"
7469,6-八区-石景山-八角北里,23,"116.125254,39.927161;116.128651,39.929297;116.143065,39.922736;116.205967,39.923792;116.204942,39.906261;116.197367,39.906139;116.197806,39.887983;116.194876,39.887646;116.193703,39.884442;116.201854,39.879153;116.202206,39.873901;116.196595,39.874265;116.192757,39.876564;116.170881,39.882141;116.160454,39.88634;116.154951,39.894959;116.148336,39.900173;116.14704,39.906386;116.139228,39.90953;116.13706,39.911754;116.137252,39.917415;116.1356,39.919995;116.125254,39.927161"
7480,7-八区-石景山-黑石头,36,"116.111806,39.952198;116.109905,39.955644;116.110335,39.958509;116.115355,39.961629;116.116618,39.96734;116.110155,39.972554;116.108865,39.975011;116.109348,39.977871;116.107667,39.980029;116.1132,39.98424;116.123953,39.986695;116.138733,39.987858;116.14563,39.992707;116.153868,39.982708;116.161664,39.985662;116.16341,39.976926;116.166425,39.976991;116.17234,39.980752;116.17355,39.987007;116.177338,39.986032;116.179975,39.983617;116.18069,39.980859;116.179862,39.97028;116.18159,39.9677;116.1846,39.966956;116.18494,39.964247;116.189106,39.962109;116.143527,39.940376;116.128651,39.929297;116.125254,39.927161;116.118887,39.931321;116.11323,39.932177;116.105945,39.941782;116.107925,39.946448;116.111135,39.947355;116.111806,39.952198"
7491,8-八区-石景山-石景山端局五环内,13,"116.204942,39.906261;116.205967,39.923792;116.205489,39.940649;116.2073,39.945758;116.214473,39.940346;116.225736,39.940041;116.225463,39.930604;116.208914,39.930038;116.20902,39.927694;116.212393,39.923247;116.227901,39.923363;116.229017,39.906245;116.204942,39.906261"
7502,9-八区-四季青-八里庄,10,"116.26603,39.928449;116.268936,39.932371;116.270217,39.954364;116.27565,39.949506;116.28879,39.946916;116.290278,39.918643;116.26917,39.918086;116.26682,39.920309;116.266511,39.923062;116.26603,39.928449"
7306,10-八区-四季青-火器营,9,"116.268729,39.965953;116.270802,39.969365;116.277864,39.973864;116.280452,39.972038;116.2894,39.957353;116.28879,39.946916;116.27565,39.949506;116.270217,39.954364;116.268729,39.965953"
